NO.,compound_name,IUPAC_name,SMILES,CID,logBB,BBB+/BBB-,Inchi,threshold,reference,group,comments
65,atorvastatin,"(3r,5r)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoic acid",CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,60823.0,-1.36,BBB-,"InChI=1S/C33H35FN2O5/c1-21(2)31-30(33(41)35-25-11-7-4-8-12-25)29(22-9-5-3-6-10-22)32(23-13-15-24(34)16-14-23)36(31)18-17-26(37)19-27(38)20-28(39)40/h3-16,21,26-27,37-38H,17-20H2,1-2H3,(H,35,41)(H,39,40)/t26-,27-/m1/s1",,R18|R26|R27|,A,
66,benzoylecgonine,,CN1[C@H]2CC[C@H]1[C@@H](CC(=O)O)[C@@H](OC(=O)c1ccccc1)C2,,-1.35,BBB-,"InChI=1S/C17H21NO4/c1-18-12-7-8-14(18)13(10-16(19)20)15(9-12)22-17(21)11-5-3-2-4-6-11/h2-6,12-15H,7-10H2,1H3,(H,19,20)/t12-,13+,14-,15-/m0/s1",,R18|R26|R27|,A,
67,"monohydroxy l-663,581 metabolite","7-chloro-3-[5-(2-hydroxypropan-2-yl)-1,2,4-oxadiazol-3-yl]-5-methyl-4h-imidazo[1,5-a][1,4]benzodiazepin-6-one",CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O,10384745.0,-1.34,BBB-,"InChI=1S/C17H16ClN5O3/c1-17(2,25)16-20-14(21-26-16)13-11-7-22(3)15(24)12-9(18)5-4-6-10(12)23(11)8-19-13/h4-6,8,25H,7H2,1-3H3",,R2|R2|R3|R4|R8|R12|R21|R25|R27|R35|R36|R38|R40|R41|R43|R46|R47|R48|R49|R49|,A,
68,dcka,"5,7-dichloro-4-oxo-1h-quinoline-2-carboxylic acid",O=C(O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1,1779.0,-1.33,BBB-,"InChI=1S/C10H5Cl2NO3/c11-4-1-5(12)9-6(2-4)13-7(10(15)16)3-8(9)14/h1-3H,(H,13,14)(H,15,16)",,R20|,A,
69,didanosine,9-[5-(hydroxymethyl)oxolan-2-yl]-1h-purin-6-one,O=c1[nH]cnc2c1ncn2C1CCC(CO)O1,135422442.0,-1.3,BBB-,"InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)",,R25|R35|R49|R2|R2|R2|R2|R3|R12|R27|R36|R38|R41|R43|R46|R47|R8|R21|R4|R20|,A,
70,salbutamol ,4-[2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,2083.0,-1.3,BBB-,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",,R3|R18|R25|R26|R27|R38|R41|R46|R47|R2|R2|R27|R40|R8|R21|R27|R43|R12|R31|R35|R39|R5|,A,
71,sildenafil,"5-[2-ethoxy-5-(4-methylpiperazin-1-yl)sulfonylphenyl]-1-methyl-3-propyl-6h-pyrazolo[4,3-d]pyrimidin-7-one",CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,135398744.0,-1.3,BBB-,"InChI=1S/C22H30N6O4S/c1-5-7-17-19-20(27(4)25-17)22(29)24-21(23-19)16-14-15(8-9-18(16)32-6-2)33(30,31)28-12-10-26(3)11-13-28/h8-9,14H,5-7,10-13H2,1-4H3,(H,23,24,29)",,R47|,A,
72,sk&f 93319,2-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethylamino]-5-(naphthalen-2-ylmethyl)-1h-pyrimidin-6-one,CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1,14022522.0,-1.3,BBB-,"InChI=1S/C25H28N4O2S/c1-29(2)16-22-9-10-23(31-22)17-32-12-11-26-25-27-15-21(24(30)28-25)14-18-7-8-19-5-3-4-6-20(19)13-18/h3-10,13,15H,11-12,14,16-17H2,1-2H3,(H2,26,27,28,30)",,R40|R2|R2|R2|R2|R8|R12|R18|R25|R26|R27|R35|R36|R43|R46|R47|R48|R49|R49|R4|,A,
73,sb-271406,5-chloro-n-(4-methoxy-3-piperazin-1-ylphenyl)-3-methyl-1-benzothiophene-2-sulfonamide,COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1,5312149.0,-1.3,BBB-,"InChI=1S/C20H22ClN3O3S2/c1-13-16-11-14(21)3-6-19(16)28-20(13)29(25,26)23-15-4-5-18(27-2)17(12-15)24-9-7-22-8-10-24/h3-6,11-12,22-23H,7-10H2,1-2H3",,R18|R26|R27|,A,
74,indomethacin,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3715.0,-1.3,BBB-,"InChI=1S/C19H16ClNO4/c1-11-15(10-18(22)23)16-9-14(25-2)7-8-17(16)21(11)19(24)12-3-5-13(20)6-4-12/h3-9H,10H2,1-2H3,(H,22,23)",,R5|R2|R2|R3|R3|R8|R11|R12|R17|R18|R21|R25|R26|R27|R27|R35|R36|R38|R41|R43|R46|R47|R49|R49|R50|R40|,A,
75,skf 93319,,COc1cccnc1CCCCNc1ncc(Cc2cccc(C)n2)c(=O)[nH]1,,-1.3,BBB-,"InChI=1S/C21H25N5O2/c1-15-7-5-8-17(25-15)13-16-14-24-21(26-20(16)27)23-11-4-3-9-18-19(28-2)10-6-12-22-18/h5-8,10,12,14H,3-4,9,11,13H2,1-2H3,(H2,23,24,26,27)",,R36|R47|,A,
76,"n-(2,4-dimethylphenyl)-1,3-dimethylimidazolidin-2-imine","n-(2,4-dimethylphenyl)-1,3-dimethylimidazolidin-2-imine",Cc1ccc(N=C2N(C)CCN2C)c(C)c1,21675832.0,-1.3,BBB-,"InChI=1S/C13H19N3/c1-10-5-6-12(11(2)9-10)14-13-15(3)7-8-16(13)4/h5-6,9H,7-8H2,1-4H3",,R8|,A,
77,4794-83-6,"n-(2,4-dimethylphenyl)-4,5-dihydro-1h-imidazol-2-amine",Cc1ccc(NC2=NCCN2)c(C)c1,12296938.0,-1.3,BBB-,"InChI=1S/C11H15N3/c1-8-3-4-10(9(2)7-8)14-11-12-5-6-13-11/h3-4,7H,5-6H2,1-2H3,(H2,12,13,14)",,R2|R2|R2|R2|R25|R46|R47|R4|R40|,A,
78,schembl1704876,"n-(2,6-dichlorophenyl)-2-[[6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl]amino]-1,3-thiazole-5-carboxamide",Cc1nc(Nc2ncc(C(=O)Nc3c(Cl)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,16655839.0,-1.3,BBB-,"InChI=1S/C21H23Cl2N7O2S/c1-13-25-17(11-18(26-13)30-7-5-29(6-8-30)9-10-31)27-21-24-12-16(33-21)20(32)28-19-14(22)3-2-4-15(19)23/h2-4,11-12,31H,5-10H2,1H3,(H,28,32)(H,24,25,26,27)",,R18|R26|R27|,A,
79,diclazuril,"2-(4-chlorophenyl)-2-[2,6-dichloro-4-(3,5-dioxo-1,2,4-triazin-2-yl)phenyl]acetonitrile",N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,456389.0,-1.3,BBB-,"InChI=1S/C17H9Cl3N4O2/c18-10-3-1-9(2-4-10)12(7-21)16-13(19)5-11(6-14(16)20)24-17(26)23-15(25)8-22-24/h1-6,8,12H,(H,23,25,26)",,R2|R2|R25|R46|,A,
80,compound-9,"3-[[1-(aminomethyl)cyclohexyl]methyl]-4h-1,2,4-oxadiazol-5-one",NCC1(Cc2noc(=O)[nH]2)CCCCC1,135529433.0,-1.3,BBB-,"InChI=1S/C10H17N3O2/c11-7-10(4-2-1-3-5-10)6-8-12-9(14)15-13-8/h1-7,11H2,(H,12,13,14)",,R18|R26|R27|,A,
81,yg19,"2-(4-phenyl-1,3-thiazol-2-yl)ethanamine",NCCc1nc(-c2ccccc2)cs1,1497794.0,-1.3,BBB-,"InChI=1S/C11H12N2S/c12-7-6-11-13-10(8-14-11)9-4-2-1-3-5-9/h1-5,8H,6-7,12H2",,R35|R36|R43|R48|R49|R4|R8|R21|R27|R2|R2|R12|R25|R46|R48|,A,
82,17 zm0241385,"4-[2-[[7-amino-2-(furan-2-yl)-[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-yl]amino]ethyl]phenol",Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12,176407.0,-1.3,BBB-,"InChI=1S/C16H15N7O2/c17-14-20-15(18-8-7-10-3-5-11(24)6-4-10)21-16-19-13(22-23(14)16)12-2-1-9-25-12/h1-6,9,24H,7-8H2,(H3,17,18,19,20,21,22)",,R47|,A,
83,diclofenac,"2-[2-(2,6-dichloroanilino)phenyl]acetic acid",O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,3033.0,-1.3,BBB-,"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)",,R18|R26|R27|,A,
84,l-dideoxyinosine,"9-[(2s,5r)-5-(hydroxymethyl)oxolan-2-yl]-1h-purin-6-one",O=c1[nH]cnc2c1ncn2[C@@H]1CC[C@H](CO)O1,135483777.0,-1.3,BBB-,"InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)/t6-,7+/m1/s1",,R48|,A,
85,didanosine,"9-[(2r,5s)-5-(hydroxymethyl)oxolan-2-yl]-1h-purin-6-one",O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,135398739.0,-1.3,BBB-,"InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)/t6-,7+/m0/s1",,R5|R11|R11|R17|R18|R26|R27|,A,
86,α-hydroxyalprazolam (alpha-hydroxyalprazolam),"(8-chloro-6-phenyl-4h-[1,2,4]triazolo[4,3-a][1,4]benzodiazepin-1-yl)methanol",OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,162244.0,-1.3,BBB-,"InChI=1S/C17H13ClN4O/c18-12-6-7-14-13(8-12)17(11-4-2-1-3-5-11)19-9-15-20-21-16(10-23)22(14)15/h1-8,23H,9-10H2",,R5|R8|R21|R27|R2|R2|R12|R25|R35|R40|R46|R47|R43|,A,
87,schembl13579049,"2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-2,3-dihydroindol-3-yl]acetic acid",COc1ccc2c(c1)C(CC(=O)O)C(C)N2C(=O)c1ccc(Cl)cc1,53394319.0,-1.26,BBB-,"InChI=1S/C19H18ClNO4/c1-11-15(10-18(22)23)16-9-14(25-2)7-8-17(16)21(11)19(24)12-3-5-13(20)6-4-12/h3-9,11,15H,10H2,1-2H3,(H,22,23)",,R2|R2|R8|,A,
88,zinc27644005,"2-[(2s,3r)-1-(4-chlorobenzoyl)-5-methoxy-2-methyl-2,3-dihydroindol-3-yl]acetic acid",COc1ccc2c(c1)[C@@H](CC(=O)O)[C@H](C)N2C(=O)c1ccc(Cl)cc1,35025677.0,-1.26,BBB-,"InChI=1S/C19H18ClNO4/c1-11-15(10-18(22)23)16-9-14(25-2)7-8-17(16)21(11)19(24)12-3-5-13(20)6-4-12/h3-9,11,15H,10H2,1-2H3,(H,22,23)/t11-,15-/m0/s1",,R47|R48|,A,
89,p-phenylbenzoic acid,4-phenylbenzoic acid,O=C(O)c1ccc(-c2ccccc2)cc1,66724.0,-1.26,BBB-,"InChI=1S/C13H10O2/c14-13(15)12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,(H,14,15)",,R2|R2|R8|R21|R25|R27|R41|R43|R46|R47|R40|R3|R38|,A,
90,,,CN/C(=C/[N+](=O)[O-])NCCSc1ccc(CN(C)C)o1,,-1.23,BBB-,"InChI=1S/C12H20N4O3S/c1-13-11(9-16(17)18)14-6-7-20-12-5-4-10(19-12)8-15(2)3/h4-5,9,13-14H,6-8H2,1-3H3/b11-9-",,R48|,A,
91,ls-190695,"(e)-1-n'-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethyl]-1-n-methyl-2-nitroethene-1,1-diamine",CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,3001055.0,-1.23,BBB-,"InChI=1S/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3/b13-9+",,R2|R2|R11|R25|R39|R43|R46|R47|R49|R49|R50|R4|R40|,A,
92,ranitidine,,CN/C(=N\C[N+](=O)[O-])NCCSCc1coc(CN(C)C)c1,,-1.23,BBB-,"InChI=1S/C13H23N5O3S/c1-14-13(16-10-18(19)20)15-4-5-22-9-11-6-12(21-8-11)7-17(2)3/h6,8H,4-5,7,9-10H2,1-3H3,(H2,14,15,16)",,R18|R26|R27|,A,
93,n-[3-[5-[(dimethylamino)methyl]furan-2-yl]sulfanylpropyl]-n'-methyl-2-nitroethanimidamide,n-[3-[5-[(dimethylamino)methyl]furan-2-yl]sulfanylpropyl]-n'-methyl-2-nitroethanimidamide,CN=C(C[N+](=O)[O-])NCCCSc1ccc(CN(C)C)o1,54429646.0,-1.23,BBB-,"InChI=1S/C13H22N4O3S/c1-14-12(10-17(18)19)15-7-4-8-21-13-6-5-11(20-13)9-16(2)3/h5-6H,4,7-10H2,1-3H3,(H,14,15)",,R8|,A,
94,chembl1907165,n-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethyl]-n'-methyl-2-nitroethanimidamide,CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,9883333.0,-1.23,BBB-,"InChI=1S/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5H,6-10H2,1-3H3,(H,14,15)",,R2|R2|,A,
95,ranitidine base,"1-n'-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethyl]-1-n-methyl-2-nitroethene-1,1-diamine",CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,5039.0,-1.23,BBB-,"InChI=1S/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3",,R8|R12|R21|R27|R36|R49|,A,
96,,,CNC(C[N+](=O)[O-])=NCCSc1ccc(CN(C)C)o1,,-1.23,BBB-,"InChI=1S/C12H20N4O3S/c1-13-11(9-16(17)18)14-6-7-20-12-5-4-10(19-12)8-15(2)3/h4-5H,6-9H2,1-3H3,(H,13,14)",,R2|R2|,A,
97,digoxin,"3-[(3s,5r,8r,9s,10s,12r,13s,14s)-3-[(2r,4s,5s,6r)-5-[(2s,4s,5s,6r)-5-[(2s,4s,5s,6r)-4,5-dihydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-12,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2h-furan-5-one",C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)C(C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,30322.0,-1.23,BBB-,"InChI=1S/C41H64O14/c1-19-36(47)28(42)15-34(50-19)54-38-21(3)52-35(17-30(38)44)55-37-20(2)51-33(16-29(37)43)53-24-8-10-39(4)23(13-24)6-7-26-27(39)14-31(45)40(5)25(9-11-41(26,40)48)22-12-32(46)49-18-22/h12,19-21,23-31,33-38,42-45,47-48H,6-11,13-18H2,1-5H3/t19-,20-,21-,23-,24+,25?,26-,27+,28+,29+,30+,31-,33+,34+,35+,36-,37-,38-,39+,40+,41+/m1/s1",,R8|R21|,A,
98,compound 5,,CO[C@H]1CN(CC2Cc3ccc(NC(=O)C(C)C)cc3C2)CCC1n1c(C)nc2cc(C)ccc21,,-1.22,BBB-,"InChI=1S/C29H38N4O2/c1-18(2)29(34)31-24-8-7-22-13-21(14-23(22)15-24)16-32-11-10-27(28(17-32)35-5)33-20(4)30-25-12-19(3)6-9-26(25)33/h6-9,12,15,18,21,27-28H,10-11,13-14,16-17H2,1-5H3,(H,31,34)/t21?,27?,28-/m0/s1",,R18|R26|R27|,A,
99,ftc; emtricitabine,"4-amino-5-fluoro-1-[(2r,5s)-2-(hydroxymethyl)-1,3-oxathiolan-5-yl]pyrimidin-2-one",Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,60877.0,-1.22,BBB-,"InChI=1S/C8H10FN3O3S/c9-4-1-12(8(14)11-7(4)10)5-3-16-6(2-13)15-5/h1,5-6,13H,2-3H2,(H2,10,11,14)/t5-,6+/m0/s1",,R18|R26|R27|,A,
100,cogoxin,"3-[3-[5-[5-(4,5-dihydroxy-6-methyloxan-2-yl)oxy-4-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-12,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2h-furan-5-one",CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,3062.0,-1.2,BBB-,"InChI=1S/C41H64O14/c1-19-36(47)28(42)15-34(50-19)54-38-21(3)52-35(17-30(38)44)55-37-20(2)51-33(16-29(37)43)53-24-8-10-39(4)23(13-24)6-7-26-27(39)14-31(45)40(5)25(9-11-41(26,40)48)22-12-32(46)49-18-22/h12,19-21,23-31,33-38,42-45,47-48H,6-11,13-18H2,1-5H3",,R47|R2|R2|R25|R27|R40|,A,
